cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
1,R-HSA-9707616,Heme signaling,1,70,0.4392286005468453,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-9616222,Transcriptional regulation of granulopoiesis,1,70,0.4392286005468453,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase,1,70,0.4392286005468453,14,1800,0.6512634679399638,0.9121733665867195
1,R-HSA-1280218,Adaptive Immune System,11,1237,0.4428924446301888,166,1800,0.6696178155156601,0.9275622770344314
1,R-HSA-2426168,Activation of gene expression by SREBF (SREBP),1,71,0.4438534929827458,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-373755,Semaphorin interactions,1,71,0.4438534929827458,22,1800,0.8097203200949397,0.9843230845358971
1,R-HSA-936837,Ion transport by P-type ATPases,1,71,0.4438534929827458,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-6790901,rRNA modification in the nucleus and cytosol,1,71,0.4438534929827458,20,1800,0.7785458808898092,0.9753449785591777
1,R-HSA-73894,DNA Repair,4,414,0.4457963117338319,80,1800,0.8441766090666165,0.9913828291253998
1,R-HSA-5619102,SLC transporter disorders,2,185,0.4516521144291121,16,1800,0.32340511835394076,0.7926940672697135
1,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,1,73,0.4529900027652556,30,1800,0.8964726901081171,0.9998152877471925
1,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,5,536,0.4539247621222455,118,1800,0.939984269686308,0.9998152877471925
1,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,3,302,0.4548470278381579,35,1800,0.4695100659600904,0.8525099015667957
1,R-HSA-9958863,SLC-mediated transport of amino acids,1,75,0.4619775175813772,6,1800,0.3626448921277454,0.8096675561862039
1,R-HSA-9013026,RHOB GTPase cycle,1,75,0.4619775175813772,24,1800,0.8365352802430539,0.9913828291253998
1,R-HSA-9909648,Regulation of PD-L1(CD274) expression,2,191,0.4680368402806221,39,1800,0.786365244069424,0.9819684735480245
1,R-HSA-69202,Cyclin E associated events during G1/S transition ,1,78,0.4751846894097687,19,1800,0.7611085486764084,0.9675213628916985
1,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins,1,78,0.4751846894097687,15,1800,0.6766474260406384,0.9275622770344314
1,R-HSA-199991,Membrane Trafficking,6,669,0.4757321390136431,122,1800,0.8900413530178164,0.9998152877471925
1,R-HSA-9013106,RHOC GTPase cycle,1,79,0.4795151707036093,25,1800,0.8485006031982357,0.9913828291253998
1,R-HSA-453276,Regulation of mitotic cell cycle,1,79,0.4795151707036093,15,1800,0.6766474260406384,0.9275622770344314
1,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,1,79,0.4795151707036093,15,1800,0.6766474260406384,0.9275622770344314
1,R-HSA-1257604,PIP3 activates AKT signaling,3,315,0.4823802517108606,52,1800,0.7388252013428662,0.9620161570394526
1,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,1,80,0.4838101837734634,19,1800,0.7611085486764084,0.9675213628916985
1,R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",1,81,0.4880700169506269,14,1800,0.6512634679399638,0.9121733665867195
1,R-HSA-69052,Switching of origins to a post-replicative state,1,81,0.4880700169506269,17,1800,0.7220435507093436,0.9549608251317124
1,R-HSA-9976102,Differentiation of naive CD4+ T cells to T helper 2 cells (Th2 cells),1,82,0.4922949562400592,19,1800,0.7611085486764084,0.9675213628916985
1,R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),1,83,0.4964852853390635,14,1800,0.6512634679399638,0.9121733665867195
1,R-HSA-195258,RHO GTPase Effectors,3,325,0.5031139570433681,94,1800,0.9726675400118708,0.9998152877471925
1,R-HSA-211000,Gene Silencing by RNA,1,85,0.5047632363271988,14,1800,0.6512634679399638,0.9121733665867195
1,R-HSA-69275,G2/M Transition,2,205,0.5051202842539537,47,1800,0.8660290612773665,0.9998152877471925
1,R-HSA-383280,Nuclear Receptor transcription pathway,1,86,0.5088514142380667,4,1800,0.2592647351334294,0.7642378793802396
1,R-HSA-416482,G alpha (12/13) signalling events,1,86,0.5088514142380667,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-453274,Mitotic G2-G2/M phases,2,207,0.5102816408298538,47,1800,0.8660290612773665,0.9998152877471925
1,R-HSA-8868773,rRNA processing in the nucleus and cytosol,2,207,0.5102816408298538,62,1800,0.9470371445413241,0.9998152877471925
1,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),1,87,0.512906094038165,9,1800,0.49146912285447203,0.8525099015667957
1,R-HSA-9975921,Assembly of the 9+0 primary cilium,2,209,0.5154080566160943,32,1800,0.6855505881571934,0.9340885657368405
1,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,1,89,0.5209160468395766,15,1800,0.6766474260406384,0.9275622770344314
1,R-HSA-9707564,Cytoprotection by HMOX1,1,91,0.528795247914055,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,1,92,0.5326864799407164,25,1800,0.8485006031982357,0.9913828291253998
1,R-HSA-6794362,Protein-protein interactions at synapses,1,93,0.5365458158206825,11,1800,0.5626325774376919,0.8841369074020873
1,R-HSA-6802957,Oncogenic MAPK signaling,1,93,0.5365458158206825,33,1800,0.9176604918732116,0.9998152877471925
1,R-HSA-1500620,Meiosis,1,93,0.5365458158206825,20,1800,0.7785458808898092,0.9753449785591777
1,R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,2,219,0.5405080507205395,38,1800,0.7739258862697745,0.9753449785591777
1,R-HSA-389948,Co-inhibition by PD-1,2,219,0.5405080507205395,41,1800,0.8094632221471728,0.9843230845358971
1,R-HSA-381038,XBP1(S) activates chaperone genes,1,95,0.5441698350475737,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,1,96,0.5479350311263775,15,1800,0.6766474260406384,0.9275622770344314
1,R-HSA-9645723,Diseases of programmed cell death,1,97,0.5516693565556858,21,1800,0.7947194963304411,0.9819684735480245
1,R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,4,477,0.5561298355155369,37,1800,0.27597251484908075,0.7827899635027386
1,R-HSA-5663205,Infectious disease,16,1965,0.5609096970251164,327,1800,0.9765584416991122,0.9998152877471925
1,R-HSA-9945266,Differentiation of T cells,1,100,0.5626896110109567,20,1800,0.7785458808898092,0.9753449785591777
1,R-HSA-381070,IRE1alpha activates chaperones,1,101,0.5663029458264581,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-68867,Assembly of the pre-replicative complex,1,103,0.5734409526498638,22,1800,0.8097203200949397,0.9843230845358971
1,R-HSA-9730414,MITF-M-regulated melanocyte development,2,233,0.5741268418416681,36,1800,0.7471624091738618,0.965530792370807
1,R-HSA-9006925,Intracellular signaling by second messengers,3,363,0.577798517487969,63,1800,0.8470913209980718,0.9913828291253998
1,R-HSA-6807878,COPI-mediated anterograde transport,1,107,0.5873690017761793,27,1800,0.8698852156429315,0.9998152877471925
1,R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,1,107,0.5873690017761793,26,1800,0.8595963336682242,0.9998152877471925
1,R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,1,107,0.5873690017761793,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-193704,p75 NTR receptor-mediated signalling,1,110,0.5975179414168393,18,1800,0.7423095845892007,0.9620161570394526
1,R-HSA-9705683,SARS-CoV-2-host interactions,2,247,0.6059391762413451,51,1800,0.8947653943334883,0.9998152877471925
1,R-HSA-2559580,Oxidative Stress Induced Senescence,1,113,0.6074190782525486,19,1800,0.7611085486764084,0.9675213628916985
1,R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,1,115,0.6138851398875167,19,1800,0.7611085486764084,0.9675213628916985
1,R-HSA-72312,rRNA processing,2,252,0.6168605528096647,64,1800,0.9533984511260635,0.9998152877471925
1,R-HSA-5696398,Nucleotide Excision Repair,1,117,0.6202454830715659,25,1800,0.8485006031982357,0.9913828291253998
1,R-HSA-1852241,Organelle biogenesis and maintenance,3,387,0.6212355204908062,58,1800,0.8037605532191013,0.9843230845358971
1,R-HSA-5617833,Cilium Assembly,2,256,0.6254310637345106,33,1800,0.7020093991601949,0.9394843887870858
1,R-HSA-69239,Synthesis of DNA,1,119,0.6265018234894812,23,1800,0.8236327826301802,0.9913828291253998
1,R-HSA-9725370,Signaling by ALK fusions and activated point mutants,1,119,0.6265018234894812,34,1800,0.9237182938293421,0.9998152877471925
